name,address,date,score
Two Steps Ahead Learning Academy - Food Svc,4064 St. Elmo Rd.  Memphis. TN 38128,September 7. 2020,91
MR. P'S BUFFALO WINGS,4202 HACKS CROSS RD #121  Memphis. TN 38125,September 7. 2020,97
Child Enrichment Ctr-Union Ave Baptist,2181 Union Ave.  Memphis. TN 38104,September 7. 2020,96
Los Pilares Mexican Restaurant,6249 Stage Rd.  Bartlett. TN 38134,September 7. 2020,88
Cafe Eclectic,111 Harbor Town Sq  Memphis. TN 38103,September 7. 2020,95
Andy B's,6276 Stage Rd.  Bartlett. TN 38134,September 3. 2020,96
KFC-Taco Bell # 52,3745 E. Shelby Dr.  Memphis. TN 38116,September 3. 2020,95
RED KOI (BAR),2946 KATE HYDE BLVD #102  Memphis. TN 38133,September 3. 2020,99
Andy B's Bar,6276 Stage Rd.  Bartlett. TN 38134,September 3. 2020,100
Sonic Drive-In,3285 E. Shelby Dr.  Memphis. TN 38118,September 3. 2020,94
East Coast Wings and Grill (BAR),2946 Kate Hyde Blvd.  Memphis. TN 38133,September 3. 2020,99
East Coast Wings and Grill (BAR),2946 Kate Hyde Blvd.  Memphis. TN 38133,September 3. 2020,93
KING JERRY LAWLER'S HALL OF FAME BAR & GRILL,159 BEALE ST  Memphis. TN 38103,September 2. 2020,90
Sonic Drive-In,3790 S. Houston Levee Rd.  Collierville. TN 38017,September 2. 2020,98
Wet Willie's,209 Beale St.  Memphis. TN 38103,September 2. 2020,99
Lenny's #83,5780 Airline Rd.. STE 110  Arlington. TN 38002,September 2. 2020,95
Sharing God's Love Childcare Fd Srv,5095 Millbranch  Memphis. TN 38116,September 2. 2020,97
KING JERRY LAWLER'S HALL OF FAME BAR & GRILL (BAR),159 BEALE ST  Memphis. TN 38103,September 2. 2020,99
CORPORATE CHEF (SMITH & NEPHEW),1450 E. BROOKS RD BUILDING B  Memphis. TN 38116,September 2. 2020,98
Domino's Pizza,5780 Airline Rd.  Arlington. TN 38002,September 2. 2020,97
Colonial Ctry Club Main Kitchen Downstairs,2736 Countrywood Pkwy  Cordova. TN 38018,September 2. 2020,98
Rockhouse Live (Restaurant),5709 Raleigh Lagrange Rd.  Memphis. TN 38134,September 2. 2020,76
COMIDAS TIPICUS - FD-SRV.,5721 RALEIGH LAGRANGE  Memphis. TN 38134,September 2. 2020,92
Alturia Elem Afterschool,6641 Deermont  Memphis. TN 38134,September 2. 2020,100
ELMORE PARK MIDDLE,6330 ALTHORNE RD.  Memphis. TN 38134,September 2. 2020,100
Colonial Ctry Club- Mens Bar Downstairs,2736 Countrywood Pkwy.  Cordova. TN 38018,September 2. 2020,100
Colonial Ctry Mixed Grill-Upstair Bar,2736 Countrywood Pkwy  Cordova. TN 38016,September 2. 2020,100
Daylight Donuts,5735 Raleigh Lagrange  Memphis. TN 38134,September 2. 2020,94
Wet Willie's - Bar,209 Beale St.  Memphis. TN 38103,September 2. 2020,98
Learning Tree Day Care - Food,5740 Airline Rd.  Arlington. TN 38002,September 2. 2020,99
Gateway Learning Academy - Food,185 E. Norwood  Memphis. TN 38109,September 2. 2020,100
Rockhouse Live (Bar),5709 Raleigh Lagrange Rd.  Memphis. TN 38134,September 2. 2020,91
Colonial Country Club Main Kitchen Upstairs,2736 Countrywood Pkwy  Cordova. TN 38016,September 2. 2020,98
DOMINO'S,1560 UNION AVE  Memphis. TN 38104,September 1. 2020,97
Huey's,77 S. Second St.  Memphis. TN 38103,September 1. 2020,98
FRIDA'S - BAR,4650 MERCHANTS PARK CIRCLE SUITE 856  Collierville. TN 38017,September 1. 2020,100
Jasper's,1450 Gaither  Memphis. TN 38106,September 1. 2020,100
Mccormack Surpise Day School-Fd Svc,1424 Florida St.  Memphis. TN 38106,September 1. 2020,100
Rum Boogie Cafe,182 Beale St.  Memphis. TN 38103,September 1. 2020,96
Renee's Sandwich Shop,202 G. E. Patterson Ave.  Memphis. TN 38103,September 1. 2020,95
Westin Banquet Kitchen,170 Lt. George W. Lee  Memphis. TN 38103,September 1. 2020,99
Cookout,1468 Union Avenue  Memphis. TN 38104,September 1. 2020,95
SUBWAY,61 S SECOND ST STE 160  Memphis. TN 38103,September 1. 2020,98
King's Palace Cafe Incorporated,162 Beale St.  Memphis. TN 38103,September 1. 2020,97
Aramark Correctional Fd Svcs (Jail East),6201 Haley Rd.  Memphis. TN 38134,September 1. 2020,100
Vanelli's Deli,7873 Farmington Blvd.  Germantown. TN 38138,September 1. 2020,99
CHECKER'S,3680 LAMAR AVE  Memphis. TN 38118,September 1. 2020,95
Automatic Slim's,83 S. Second St.  Memphis. TN 38103,September 1. 2020,97
Subway # 2641,1558 Union Ave.  Memphis. TN 38105,September 1. 2020,97
DUNKIN DONUTS CENTRAL GARDIN - FD-SRV.,1540 UNION AVE.  Memphis. TN 38104,September 1. 2020,98
Huey's - Bar,77 S. Second St.  Memphis. TN 38103,September 1. 2020,100
FRIDA - FD-SRV.,4650 MERCHANTS PARK CIRCLE  Collierville. TN 38017,September 1. 2020,98
Automatic Slim's-Bar,83 S. Second St.  Memphis. TN 38103,September 1. 2020,99
Daffy Duck Akademy (Food Service),2343 Elvis Presly  Memphis. TN 38106,August 31. 2020,99
Kentucky Fried Chicken #33,200 N. Danny Thomas  Memphis. TN 38105,August 31. 2020,96
CAPTAIN D'S - FD-SRV.,4404 ELVIS PRESLEY  Memphis. TN 38116,August 31. 2020,97
CARING ARMS CHILD CARE  LEARNING CENTER - FD-SRV.,1101 CHAMBLISS ROAD  Memphis. TN 38116,August 31. 2020,99
GRACIES SNOWBALL CAFE - FD-SRV.,3108 GERMANTOWN RD SUITE 104  Memphis. TN 38133,August 31. 2020,93
Sensational Enlightenment DCC (Food Svcs),5960 Knight Arnold  Memphis. TN 38115,August 31. 2020,100
Jack Pirtles Fried Chicken,2484 Jackson Ave.  Memphis. TN 38108,August 31. 2020,90
Apples and Cookies Enrichment Center - Fd Svc,3654 Boxtown Rd.  Memphis. TN 38109,August 31. 2020,100
Pollard's BBQ,4560 Elvis Presley Blvd.  Memphis. TN 38116,August 31. 2020,95
Papa John's Pizza,622 W. Poplar Ave.  Collierville. TN 38017,August 30. 2020,99
Jessenna Learning Cntr Fd Svc,5355 Flowering Peach Dr.  Memphis. TN 38115,August 30. 2020,100
Jessie Mahan Childcare Center,70 N. Bellevue St.  Memphis. TN 38105,August 30. 2020,100
ABLE ACADEMY - FD-SRV.,3837 MENDENHALL  Memphis. TN 38115,August 30. 2020,100
Captain D's Seafood Kitchen #6134,7112 Hwy 64  Bartlett. TN 38133,August 30. 2020,96
Academy Child Care Center. The (Fd Svc),1639 Madison Ave.  Memphis. TN 38103,August 30. 2020,100
SEN,6050 AIRLINE RD #103  Arlington. TN 38002,August 30. 2020,96
Creative Learning Academy - Fd Svc,7288 E. Shelby Dr.  Memphis. TN 38125,August 30. 2020,100
Starbucks #8297,1850 Union Ave.  Memphis. TN 38103,August 30. 2020,98
Donelson Elementary School,12140 Donelson Farm Parkway  Arlington. TN 38002,August 30. 2020,98
Pyro's Fire Fresh Pizza - Bar,2035 Union Ave  Memphis. TN 38104,August 30. 2020,100
Pyro's Fire Fresh Pizza,2035 Union Ave  Memphis. TN 38104,August 30. 2020,98
Subway #39266,1645 Poplar Ave.  Memphis. TN 38104-2511,August 30. 2020,98
Horn Lake Road Day Care Center - Fd Srv,3657 Horn Lake Rd.  Memphis. TN 38109,August 30. 2020,100
Pig On Beale. Inc.,167 Beale St.  Memphis. TN 38103,August 27. 2020,96
Terrace (Restaurant),50 Harbor Town Square  Memphis. TN 38103,August 27. 2020,97
Kids R Kreative,2767 Frayser Blvd  Memphis. TN 38127,August 27. 2020,93
El Toro Loco Mexican Bar & Grill (Bar #1 ),2617 Poplar Ave.  Memphis. TN 38112,August 26. 2020,95
Pop's Bar And Grill,6365 Navy Rd.  Millington. TN 38053,August 26. 2020,96
Tsunami,928 S Cooper  Memphis. TN 38104,August 26. 2020,98
CROWN PLAZA DOWNTOWN,300 N. SECOND ST  Memphis. TN 38105,August 26. 2020,95
Abyssinia Ethiopian Restaurant,2600 POPLAR AVE.  Memphis. TN 38112,August 26. 2020,98
Pizza Hut #4031,1680 Union Ave.. Ste. 114  Memphis. TN 38104,August 26. 2020,99
Tsunami - Bar,928 S Cooper  Memphis. TN 38104,August 26. 2020,100
DA SAUCE WINGS & THINGS,7020 E SHELBY DR STE 118  Memphis. TN 38125,August 26. 2020,100
Memphis Mojo Cafe,7124 Hwy 64. Suite #101  Memphis. TN 38133,August 26. 2020,96
Harvester Inn,681 Whitney  Memphis. TN 38127,August 26. 2020,100
El Toro Loco- Bar # 2,2617 Poplar  Memphis. TN 38112,August 26. 2020,93
Shake Rag,8902 Rankin Branch RD  Millington. TN 38053,August 26. 2020,94
El Toro Loco Mexican Bar & (Grill),2617 Poplar Ave.  Memphis. TN 38112,August 26. 2020,72
Little Harvard Childcare (Food Svcs),2548 Jackson Avenue  Memphis. TN 38108,August 26. 2020,100
Yum's,787 W. Poplar  Collierville. TN 38017,August 26. 2020,97
CKC Inc. Pre-school,3759 HORN lAKE  Memphis. TN 38109,August 25. 2020,99
Arlington Elementary School,11825 Douglass  Arlington. TN 38002,August 25. 2020,100
Checker's,434 E H Crump  Memphis. TN 38126,August 25. 2020,95
NEW LIFE IN CHRIST LEARNING ACADEMY - FD-SRV.,6825 E HOLMES  Memphis. TN 38141,August 25. 2020,100
Los Reyes Mexican Restaurant - Bar,7712 Hwy 51 N.  Millington. TN 38053,August 25. 2020,100
New Sardis Daycare Center/Food Service,7739 E. Holmes Rd.  Memphis. TN 38125,August 25. 2020,100
Boscos Squared,2120 Madison Ave.  Memphis. TN 38104,August 25. 2020,91
KELVIN'S HOT WINGS,8195 DEXTER RD STE 103  Cordova. TN 38016,August 25. 2020,97
Local - Bar # 2,2126 Madison Ave.  Memphis. TN 38104,August 25. 2020,95
Tas-T-O-Donuts,5780 Airline Rd.. STE 104  Arlington. TN 38002,August 25. 2020,93
Hammer & Ale,921 S. Cooper Street  Memphis. TN 38104,August 25. 2020,99
Smokin' D's Pit Stop BBQ,7822 Hwy 51. North  Millington. TN 38053,August 25. 2020,96
Idlewild Presbyterian - Fd Svc,1750 Union Ave.  Memphis. TN 38104,August 25. 2020,97
Christ Trinity Christian Academy,5225 Shady Ridge Dr.  Memphis. TN 38141,August 25. 2020,100
Captain D's,8342 N. Hwy 51  Millington. TN 38053,August 25. 2020,95
Los Reyes Mexican Restaurant,7712 Hwy 51 N.  Millington. TN 38053,August 25. 2020,93
Bosco's Squared - Bar,2120 Madison Ave.  Memphis. TN 38104,August 25. 2020,100
cCountry Home Day Care - Fd Svc,5323 Hacks Cross Rd.  Memphis. TN 38125,August 25. 2020,100
Country Home Dcc - Fd Svc #2,5333 Hacks Cross Rd.  Memphis. TN 38125,August 25. 2020,100
All Star Hot Wings,1428 Union Ave.  Memphis. TN 38104,August 25. 2020,94
Alfred's),197 Beale St.  Memphis. TN 38103,August 24. 2020,97
Paulettes (Bar),50 Harbor Town Sq  Memphis. TN 38103,August 24. 2020,96
B.B. King's Blues Bar,143 Beale  Memphis. TN 38103,August 24. 2020,97
B.B. King's Blues Bar,143 Beale  Memphis. TN 38103,August 24. 2020,96
McDONALD'S #6590,6050 WINCHESTER RD  Memphis. TN 38115,August 24. 2020,100
Mike's Hot Wings & Such,6825 Winchester  Memphis. TN 38115,August 24. 2020,100
BUFFALO WILD WINGS,8544 HWY 51. SUITE 101  Millington. TN 38053,August 24. 2020,98
Huey's,4872 Poplar Ave.  Memphis. TN 38117,August 24. 2020,96
STARBUCKS,450 S MENDENHALL  Memphis. TN 38117,August 24. 2020,98
Bayou Bar & Grill (Restaurant),2094 Madison Ave.  Memphis. TN 38104,August 24. 2020,93
Abuelo's Mexican Food Embassy,8274 US Hwy 64  Memphis. TN 38134,August 24. 2020,94
Millington Donuts,7816 Hwy 51 N.  Millington. TN 38053,August 24. 2020,93
Osaka Japanese Fusion Bistro,3402 Poplar Ave.  Memphis. TN 38111,August 24. 2020,78
Domino's Pizza,2821 Houston Levee  Cordova. TN 38016,August 24. 2020,98
Whimsy Cookie Company,4704 Poplar Ave  Memphis. TN 38117,August 24. 2020,99
Jin's Donuts,1990 W. Poplar Ave.. Suite 103  Collierville. TN 38017,August 24. 2020,92
THE CHICKEN COOP - FD-SRV,6665 Winchester Road  Memphis. TN 38115,August 24. 2020,95
Abuelo's - Bar,8274 US Hwy 64  Memphis. TN 38133,August 24. 2020,100
BUFFALO WILD WINGS BAR,8544 HWY 51. SUITE 101  Millington. TN 38053,August 24. 2020,99
Bayou Bar & Grill (Bar),2094 Madison Ave.  Memphis. TN 38104,August 24. 2020,94
Lenny's #18,1016 W. Poplar. STE 109  Collierville. TN 38017,August 24. 2020,98
Tug's Grill,51 Harbor Town Sq  Memphis. TN 38103,August 24. 2020,98
PIT SIDE GRILL - FD-SRV.,5500 VICTORY LANE  Millington. TN 38053,August 24. 2020,92
Itta Bena - Bar,145 Beale St.  Memphis. TN 38103,August 24. 2020,98
B.B. King's Blues,143 Beale  Memphis. TN 38103,August 24. 2020,97
UGLY MUG - FD. SRV.,4610 POPLAR AVE.  Memphis. TN 38117,August 24. 2020,97
Itta Bena,145 Beale St.  Memphis. TN 38103,August 24. 2020,98
